symbol,weight,date,ttf_id,optimized_at
STLD,0.167956391,9/30/22,162,55:13.1
NUE,0.158426315,9/30/22,162,55:13.1
SCHN,0.140435007,9/30/22,162,55:13.1
X,0.120365792,9/30/22,162,55:13.1
TMST,0.115141359,9/30/22,162,55:13.1
CLF,0.105574342,9/30/22,162,55:13.1
IBM,0.3,9/30/22,59,55:21.5
ORCL,0.277273092,9/30/22,59,55:21.5
SAP,0.252486795,9/30/22,59,55:21.5
SNOW,0.091976238,9/30/22,59,55:21.5
MDB,0.078263875,9/30/22,59,55:21.5
COST,0.111518759,9/30/22,275,55:25.1
BAC,0.092122812,9/30/22,275,55:25.1
PLD,0.089149101,9/30/22,275,55:25.1
JPM,0.08119273,9/30/22,275,55:25.1
AON,0.077276468,9/30/22,275,55:25.1
MMC,0.077196254,9/30/22,275,55:25.1
NEE,0.076103091,9/30/22,275,55:25.1
AMT,0.066090548,9/30/22,275,55:25.1
CCI,0.061567579,9/30/22,275,55:25.1
COP,0.060568296,9/30/22,275,55:25.1
TTE,0.059791848,9/30/22,275,55:25.1
CB,0.024956539,9/30/22,275,55:25.1
SHEL,0.023938544,9/30/22,275,55:25.1
CVX,0.020139144,9/30/22,275,55:25.1
XOM,0.018388288,9/30/22,275,55:25.1
LFC,0.01,9/30/22,275,55:25.1
SO,0.01,9/30/22,275,55:25.1
WMT,0.01,9/30/22,275,55:25.1
D,0.01,9/30/22,275,55:25.1
DUK,0.01,9/30/22,275,55:25.1
PGR,0.01,9/30/22,275,55:25.1
CAN,0.3,9/30/22,252,55:28.0
HUT,0.244360497,9/30/22,252,55:28.0
RIOT,0.244212638,9/30/22,252,55:28.0
MARA,0.211426865,9/30/22,252,55:28.0
CRM,0.3,9/30/22,207,55:31.0
SAP,0.3,9/30/22,207,55:31.0
BIGC,0.221549576,9/30/22,207,55:31.0
SHOP,0.178450424,9/30/22,207,55:31.0
SYK,0.096439712,9/30/22,259,55:35.9
ABT,0.091482715,9/30/22,259,55:35.9
ZTS,0.091396568,9/30/22,259,55:35.9
ISRG,0.089577502,9/30/22,259,55:35.9
TMO,0.085734597,9/30/22,259,55:35.9
DHR,0.084633334,9/30/22,259,55:35.9
CI,0.077666998,9/30/22,259,55:35.9
MDT,0.065560766,9/30/22,259,55:35.9
UNH,0.06539452,9/30/22,259,55:35.9
LLY,0.065060193,9/30/22,259,55:35.9
CVS,0.059400478,9/30/22,259,55:35.9
PFE,0.036105812,9/30/22,259,55:35.9
GILD,0.023618407,9/30/22,259,55:35.9
BDX,0.017928398,9/30/22,259,55:35.9
BMY,0.01,9/30/22,259,55:35.9
JNJ,0.01,9/30/22,259,55:35.9
MRK,0.01,9/30/22,259,55:35.9
AMGN,0.01,9/30/22,259,55:35.9
ABBV,0.01,9/30/22,259,55:35.9
IBKR,0.641583337,9/30/22,251,55:40.1
HOOD,0.218529453,9/30/22,251,55:40.1
COIN,0.139887209,9/30/22,251,55:40.1
IBM,0.211704192,9/30/22,83,55:43.8
CSCO,0.091400174,9/30/22,83,55:43.8
ORCL,0.079124946,9/30/22,83,55:43.8
